village,code,val_binary,comment,code.groups
Eleng'ata Dapash,member in vicoba no,1,participant is not a member of vicoba or similar savings and lending groups,# respondent characteristics
Eleng'ata Dapash,member in vicoba yes,1,participant is a member of vicoba or similar savings and lending groups,# respondent characteristics
Eleng'ata Dapash,participation in any project no,1,participant did not participate in any of the projects run by tnc or other organizations.,# respondent characteristics
Eleng'ata Dapash,participation in non tnc project yes,1,participant participated in non-tnc/partner projects,# respondent characteristics
Eleng'ata Dapash,participation in tnc project yes,0,participant participated in at least one of the tnc/partner projects,# respondent characteristics
Eleng'ata Dapash,resp char age 20 to 29,1,participant's age is between 20 and 29,# respondent characteristics
Eleng'ata Dapash,resp char age 30 to 39,1,participant's age is between 30 and 39,# respondent characteristics
Eleng'ata Dapash,resp char age 40 to 49,1,participant's age is between 40 and 49,# respondent characteristics
Eleng'ata Dapash,resp char age 50 to 59,1,participant's age is between 50 and 59,# respondent characteristics
Eleng'ata Dapash,resp char age 60,0,participant's age is 60 or above,# respondent characteristics
Eleng'ata Dapash,resp char econ activity business owner trader,1,participant's main economic activity is business (any form),# respondent characteristics
Eleng'ata Dapash,resp char econ activity casual laborer,0,participant's main economic activity is casual labor (wage based employment),# respondent characteristics
Eleng'ata Dapash,resp char econ activity farmer,1,participant's main economic activity is farmer,# respondent characteristics
Eleng'ata Dapash,resp char econ activity livestock keeper,1,participant's main economic activity is livestock keeper,# respondent characteristics
Eleng'ata Dapash,resp char econ activity other livelihoods,0,participant's main economic activity is other (does not fall in any of the specified categories).,# respondent characteristics
Eleng'ata Dapash,resp char econ activity professional,0,"participant's main economic activity is teacher, nurse, doctor, extension officer, etc.",# respondent characteristics
Eleng'ata Dapash,resp char econ activity provide skilled services,0,"participant's main economic activity is equipment repair, tailoring, construction work",# respondent characteristics
Eleng'ata Dapash,resp char education college university,0,"participant's education is diploma, university, or higher",# respondent characteristics
Eleng'ata Dapash,resp char education none,1,participant's has no education,# respondent characteristics
Eleng'ata Dapash,resp char education primary,1,participant's education is any level of primary school education,# respondent characteristics
Eleng'ata Dapash,resp char education secondary,1,participant's education is any level of secondary school education,# respondent characteristics
Eleng'ata Dapash,resp char education technical,0,"participant's education is certificate, usually acquired after completion of form four but sometime even after primary school education.",# respondent characteristics
Eleng'ata Dapash,resp char ethnic group arusha,1,NA,NA
Eleng'ata Dapash,resp char ethnic group maasai,1,participant's ethnic group is maasai,# respondent characteristics
Eleng'ata Dapash,resp char ethnic group non maasai,1,participant's ethnic group is non-maasai ( includes all other ethnic groups),# respondent characteristics
Eleng'ata Dapash,resp char marital status married,1,"participant's marital status is married, either monogamously or polygamously",# respondent characteristics
Eleng'ata Dapash,resp char marital status single never married,1,participant's marital status is single or never married,# respondent characteristics
Eleng'ata Dapash,resp char marital status widow separated divorced,1,"participant's marital status is widowed, separated, or divorced",# respondent characteristics
Eleng'ata Dapash,resp char sex female,1,participant's sex is female,# respondent characteristics
Eleng'ata Dapash,resp char sex male,1,participant's sex is male,# respondent characteristics
Eleng'ata Dapash,role in grazing committee chairperson,1,participant's role in the grazing committee: chairperson,# respondent characteristics
Eleng'ata Dapash,role in grazing committee grazing coordinator,0,participant's role in the grazing committee: rangeland coordinator,# respondent characteristics
Eleng'ata Dapash,role in grazing committee grazing monitor,0,participant's role in the grazing committee: rangeland monitor,# respondent characteristics
Eleng'ata Dapash,role in grazing committee member,1,participant's role in the grazing committee: member,# respondent characteristics
Eleng'ata Dapash,role in grazing committee secretary,1,participant's role in the grazing committee: secretary,# respondent characteristics
Eleng'ata Dapash,role in grazing committee treasurer,0,NA,NA
Eleng'ata Dapash,role in village gov council member,1,participant's role in the village government is village government council member,# respondent characteristics
Eleng'ata Dapash,role in village gov sub chairperson,1,participant's role in the village government is sub-village chairperson,# respondent characteristics
Eleng'ata Dapash,role in village gov veo,1,participant's role in the village government is village executive officer,# respondent characteristics
Eleng'ata Dapash,role in village gov village chairperson,1,participant's role in the village government is village chairperson,# respondent characteristics
Eleng'ata Dapash,role years in position 1 year,1,tenure in position less than a year,# respondent characteristics
Eleng'ata Dapash,role years in position 5 years,1,tenure in position more than five years,# respondent characteristics
Eleng'ata Dapash,role years in position 1 to 5 years,1,tenure in position one to five years,# respondent characteristics
Eleng'ata Dapash,1 social economic and political settings s,0,NA,NA
Eleng'ata Dapash,1 1 demographic trends,0,NA,"1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 1 hpop change decreasing rapidly,0,decreasing rapidly: less than -0.5% population growth per year.,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 2 hpop change decreasing,0,decreasing: between -0.3 and -0.5 population growth per year ,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 3 hpop change stable,0,stable: between -0.2 and 0.2% population growth year per ,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 4 hpop change increasing,1,increasing: between 0.3 and 2.4% population growth per year ,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 5 hpop change increasing rapidly,1,increasing rapidly: more than 2.5% population growth rate per year ,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 6 1 hpop increase cause many births,1,cause of increased human population is high birth rate,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 6 2 hpop increase cause immigrations,1,cause of increased human population is migration of people into the village,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 1 6 2 1 hpop change type of people migrating in,1,type of people migrating into the village,"1.1 demographic trends
1.1.1 hpop change
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 2 1 ethnic composition maasai in 2020,1,select discussion statements indicating % of maasai ethnic groups in 2020 (during the study),"1.1 demographic trends
1.1.2 ethnic composition
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 2 2 ethnic composition non maasai in 2020,1,select discussion statements indicating % of non-maasai ethnic groups in 2020 (during the study),"1.1 demographic trends
1.1.2 ethnic composition
1 social, economic, and political settings (s)"
